,Sample,Population
1104,HG02137,Africa
1105,HG02138,Africa
1106,HG02139,Africa
1107,HG02140,Africa
1108,HG02141,Africa
1109,HG02142,Africa
1110,HG02143,NorthAmerica
1111,HG02144,NorthAmerica
1112,HG02145,NorthAmerica
1113,HG02146,SouthAmerica
1114,HG02147,SouthAmerica
1115,HG02148,SouthAmerica
1116,HG02150,SouthAmerica
1117,HG02151,Asia
1118,HG02152,Asia
1119,HG02153,Asia
1120,HG02154,Asia
1121,HG02155,Asia
1122,HG02156,Asia
1123,HG02164,Asia
1124,HG02165,Asia
1125,HG02166,Asia
1126,HG02168,Asia
1127,HG02169,Asia
1128,HG02170,Asia
1129,HG02173,Asia
1130,HG02176,Asia
1131,HG02178,Asia
1132,HG02179,Asia
1133,HG02180,Asia
1134,HG02181,Asia
1135,HG02182,Asia
1136,HG02184,Asia
1137,HG02185,Asia
1138,HG02186,Asia
1139,HG02187,Asia
1140,HG02188,Asia
1141,HG02189,Asia
1142,HG02190,Asia
1143,HG02215,Europe
1144,HG02217,Europe
1145,HG02218,Europe
1146,HG02219,Europe
1147,HG02220,Europe
1148,HG02221,Europe
1149,HG02222,Europe
1150,HG02223,Europe
1151,HG02224,Europe
1152,HG02225,Europe
1153,HG02229,Europe
1154,HG02230,Europe
1155,HG02231,Europe
1156,HG02232,Europe
1157,HG02233,Europe
1158,HG02234,Europe
1159,HG02235,Europe
1160,HG02236,Europe
1161,HG02237,Europe
1162,HG02238,Europe
1163,HG02239,Europe
1164,HG02240,Europe
1165,HG02250,Asia
1166,HG02252,SouthAmerica
1167,HG02253,SouthAmerica
1168,HG02254,SouthAmerica
1169,HG02255,NorthAmerica
1170,HG02256,NorthAmerica
1171,HG02257,NorthAmerica
1172,HG02258,NorthAmerica
1173,HG02259,SouthAmerica
1174,HG02260,SouthAmerica
1175,HG02261,SouthAmerica
1176,HG02262,SouthAmerica
1177,HG02265,SouthAmerica
1178,HG02266,SouthAmerica
1179,HG02267,SouthAmerica
1180,HG02271,SouthAmerica
1181,HG02272,SouthAmerica
1182,HG02273,SouthAmerica
1183,HG02274,SouthAmerica
1184,HG02275,SouthAmerica
1185,HG02276,SouthAmerica
1186,HG02277,SouthAmerica
1187,HG02278,SouthAmerica
1188,HG02279,SouthAmerica
1189,HG02280,NorthAmerica
1190,HG02281,NorthAmerica
1191,HG02282,NorthAmerica
1192,HG02283,NorthAmerica
1193,HG02284,NorthAmerica
1194,HG02285,SouthAmerica
1195,HG02286,SouthAmerica
1196,HG02287,SouthAmerica
1197,HG02288,SouthAmerica
1198,HG02291,SouthAmerica
1199,HG02292,SouthAmerica
1200,HG02293,SouthAmerica
1201,HG02298,SouthAmerica
1202,HG02299,SouthAmerica
1203,HG02300,SouthAmerica
1204,HG02301,SouthAmerica
1205,HG02302,SouthAmerica
1206,HG02303,SouthAmerica
1207,HG02304,SouthAmerica
1208,HG02307,NorthAmerica
1209,HG02308,NorthAmerica
1210,HG02309,NorthAmerica
1211,HG02312,SouthAmerica
1212,HG02314,NorthAmerica
1213,HG02315,NorthAmerica
1214,HG02316,NorthAmerica
1215,HG02317,NorthAmerica
1216,HG02318,NorthAmerica
1217,HG02321,NorthAmerica
1218,HG02322,NorthAmerica
1219,HG02323,NorthAmerica
1220,HG02325,NorthAmerica
1221,HG02330,NorthAmerica
1222,HG02332,NorthAmerica
1223,HG02334,NorthAmerica
1224,HG02337,NorthAmerica
1225,HG02339,NorthAmerica
1226,HG02343,NorthAmerica
1227,HG02344,SouthAmerica
1228,HG02345,SouthAmerica
1229,HG02347,SouthAmerica
1230,HG02348,SouthAmerica
1231,HG02351,Asia
1232,HG02353,Asia
1233,HG02355,Asia
1234,HG02356,Asia
1235,HG02358,Asia
1236,HG02360,Asia
1237,HG02363,Asia
1238,HG02364,Asia
1239,HG02367,Asia
1240,HG02371,Asia
1241,HG02372,Asia
1242,HG02373,Asia
1243,HG02374,Asia
1244,HG02375,Asia
1245,HG02377,Asia
1246,HG02379,Asia
1247,HG02380,Asia
1248,HG02381,Asia
1249,HG02382,Asia
1250,HG02383,Asia
1251,HG02384,Asia
1252,HG02385,Asia
1253,HG02386,Asia
1254,HG02387,Asia
1255,HG02388,Asia
1256,HG02389,Asia
1257,HG02390,Asia
1258,HG02391,Asia
1259,HG02392,Asia
1260,HG02394,Asia
1261,HG02395,Asia
1262,HG02396,Asia
1263,HG02397,Asia
1264,HG02398,Asia
1265,HG02399,Asia
1266,HG02401,Asia
1267,HG02402,Asia
1268,HG02405,Asia
1269,HG02406,Asia
1270,HG02407,Asia
1271,HG02408,Asia
1272,HG02409,Asia
1273,HG02410,Asia
1274,HG02415,SouthAmerica
1275,HG02419,NorthAmerica
1276,HG02420,NorthAmerica
1277,HG02425,SouthAmerica
1278,HG02427,NorthAmerica
1279,HG02428,NorthAmerica
1280,HG02429,NorthAmerica
1281,HG02433,NorthAmerica
1282,HG02436,NorthAmerica
1283,HG02439,NorthAmerica
1284,HG02442,NorthAmerica
1285,HG02445,NorthAmerica
1286,HG02449,NorthAmerica
1287,HG02450,NorthAmerica
1288,HG02451,NorthAmerica
1289,HG02455,NorthAmerica
1290,HG02461,Africa
1291,HG02462,Africa
1292,HG02463,Africa
1293,HG02464,Africa
1294,HG02465,Africa
1295,HG02466,Africa
1296,HG02470,NorthAmerica
1297,HG02471,NorthAmerica
1298,HG02476,NorthAmerica
1299,HG02477,NorthAmerica
1300,HG02478,NorthAmerica
1301,HG02479,NorthAmerica
1302,HG02480,NorthAmerica
1303,HG02481,NorthAmerica
1304,HG02484,NorthAmerica
1305,HG02485,NorthAmerica
1306,HG02486,NorthAmerica
1307,HG02489,NorthAmerica
1308,HG02490,Asia
1309,HG02491,Asia
1310,HG02492,Asia
1311,HG02493,Asia
1312,HG02494,Asia
1313,HG02495,Asia
1314,HG02496,NorthAmerica
1315,HG02497,NorthAmerica
1316,HG02501,NorthAmerica
1317,HG02502,NorthAmerica
1318,HG02505,NorthAmerica
1319,HG02508,NorthAmerica
1320,HG02511,NorthAmerica
1321,HG02512,Africa
1322,HG02513,Africa
1323,HG02514,Africa
1324,HG02521,Africa
1325,HG02522,Africa
1326,HG02523,Africa
1327,HG02524,Africa
1328,HG02525,Africa
1329,HG02526,Africa
1330,HG02536,NorthAmerica
1331,HG02537,NorthAmerica
1332,HG02541,NorthAmerica
1333,HG02545,NorthAmerica
1334,HG02546,NorthAmerica
1335,HG02547,NorthAmerica
1336,HG02549,NorthAmerica
1337,HG02554,NorthAmerica
1338,HG02555,NorthAmerica
1339,HG02557,NorthAmerica
1340,HG02558,NorthAmerica
1341,HG02559,NorthAmerica
1342,HG02561,Africa
1343,HG02562,Africa
1344,HG02563,Africa
1345,HG02567,Africa
1346,HG02568,Africa
1347,HG02569,Africa
1348,HG02570,Africa
1349,HG02571,Africa
1350,HG02572,Africa
1351,HG02573,Africa
1352,HG02574,Africa
1353,HG02575,Africa
1354,HG02577,NorthAmerica
1355,HG02580,NorthAmerica
1356,HG02582,Africa
1357,HG02583,Africa
1358,HG02584,Africa
1359,HG02585,Africa
1360,HG02586,Africa
1361,HG02587,Africa
1362,HG02588,Africa
1363,HG02589,Africa
1364,HG02590,Africa
1365,HG02594,Africa
1366,HG02595,Africa
1367,HG02596,Africa
1368,HG02597,Asia
1369,HG02599,Asia
1370,HG02600,Asia
1371,HG02601,Asia
1372,HG02602,Asia
1373,HG02603,Asia
1374,HG02604,Asia
1375,HG02605,Asia
1376,HG02610,Africa
1377,HG02611,Africa
1378,HG02612,Africa
1379,HG02613,Africa
1380,HG02614,Africa
1381,HG02615,Africa
1382,HG02620,Africa
1383,HG02621,Africa
1384,HG02622,Africa
1385,HG02623,Africa
1386,HG02624,Africa
1387,HG02625,Africa
1388,HG02628,Africa
1389,HG02629,Africa
1390,HG02630,Africa
1391,HG02634,Africa
1392,HG02635,Africa
1393,HG02636,Africa
1394,HG02642,Africa
1395,HG02643,Africa
1396,HG02644,Africa
1397,HG02645,Africa
1398,HG02646,Africa
1399,HG02647,Africa
1400,HG02648,Asia
1401,HG02649,Asia
1402,HG02650,Asia
1403,HG02651,Asia
1404,HG02652,Asia
1405,HG02653,Asia
1406,HG02654,Asia
1407,HG02655,Asia
1408,HG02656,Asia
1409,HG02657,Asia
1410,HG02658,Asia
1411,HG02659,Asia
1412,HG02660,Asia
1413,HG02661,Asia
1414,HG02662,Asia
1415,HG02666,Africa
1416,HG02667,Africa
1417,HG02668,Africa
1418,HG02675,Africa
1419,HG02676,Africa
1420,HG02677,Africa
1421,HG02678,Africa
1422,HG02679,Africa
1423,HG02680,Africa
1424,HG02681,Asia
1425,HG02682,Asia
1426,HG02683,Asia
1427,HG02684,Asia
1428,HG02685,Asia
1429,HG02686,Asia
1430,HG02687,Asia
1431,HG02688,Asia
1432,HG02689,Asia
1433,HG02690,Asia
1434,HG02691,Asia
1435,HG02692,Asia
1436,HG02694,Asia
1437,HG02696,Asia
1438,HG02697,Asia
1439,HG02698,Asia
1440,HG02699,Asia
1441,HG02700,Asia
1442,HG02701,Asia
1443,HG02702,Africa
1444,HG02703,Africa
1445,HG02704,Africa
1446,HG02715,Africa
1447,HG02716,Africa
1448,HG02717,Africa
1449,HG02721,Africa
1450,HG02722,Africa
1451,HG02723,Africa
1452,HG02724,Asia
1453,HG02725,Asia
1454,HG02726,Asia
1455,HG02727,Asia
1456,HG02728,Asia
1457,HG02729,Asia
1458,HG02731,Asia
1459,HG02733,Asia
1460,HG02734,Asia
1461,HG02735,Asia
1462,HG02736,Asia
1463,HG02737,Asia
1464,HG02738,Asia
1465,HG02756,Africa
1466,HG02757,Africa
1467,HG02758,Africa
1468,HG02759,Africa
1469,HG02760,Africa
1470,HG02761,Africa
1471,HG02762,Africa
1472,HG02763,Africa
1473,HG02764,Africa
1474,HG02768,Africa
1475,HG02769,Africa
1476,HG02770,Africa
1477,HG02771,Africa
1478,HG02772,Africa
1479,HG02773,Africa
1480,HG02774,Asia
1481,HG02775,Asia
1482,HG02776,Asia
1483,HG02778,Asia
1484,HG02779,Asia
1485,HG02780,Asia
1486,HG02781,Asia
1487,HG02783,Asia
1488,HG02784,Asia
1489,HG02785,Asia
1490,HG02786,Asia
1491,HG02787,Asia
1492,HG02788,Asia
1493,HG02789,Asia
1494,HG02790,Asia
1495,HG02791,Asia
1496,HG02792,Asia
1497,HG02793,Asia
1498,HG02794,Asia
1499,HG02798,Africa
1500,HG02799,Africa
1501,HG02800,Africa
1502,HG02804,Africa
1503,HG02805,Africa
1504,HG02806,Africa
1505,HG02807,Africa
1506,HG02808,Africa
1507,HG02809,Africa
1508,HG02810,Africa
1509,HG02811,Africa
1510,HG02812,Africa
1511,HG02813,Africa
1512,HG02814,Africa
1513,HG02815,Africa
1514,HG02816,Africa
1515,HG02817,Africa
1516,HG02818,Africa
1517,HG02819,Africa
1518,HG02820,Africa
1519,HG02821,Africa
1520,HG02836,Africa
1521,HG02837,Africa
1522,HG02838,Africa
1523,HG02839,Africa
1524,HG02840,Africa
1525,HG02841,Africa
1526,HG02851,Africa
1527,HG02852,Africa
1528,HG02853,Africa
1529,HG02854,Africa
1530,HG02855,Africa
1531,HG02856,Africa
1532,HG02860,Africa
1533,HG02861,Africa
1534,HG02862,Africa
1535,HG02869,Africa
1536,HG02870,Africa
1537,HG02871,Africa
1538,HG02878,Africa
1539,HG02879,Africa
1540,HG02880,Africa
1541,HG02881,Africa
1542,HG02882,Africa
1543,HG02883,Africa
1544,HG02884,Africa
1545,HG02885,Africa
1546,HG02886,Africa
1547,HG02887,Africa
1548,HG02888,Africa
1549,HG02889,Africa
1550,HG02890,Africa
1551,HG02891,Africa
1552,HG02892,Africa
1553,HG02895,Africa
1554,HG02896,Africa
1555,HG02897,Africa
1556,HG02922,Africa
1557,HG02923,Africa
1558,HG02924,Africa
1559,HG02938,Africa
1560,HG02939,Africa
1561,HG02941,Africa
1562,HG02942,Africa
1563,HG02943,Africa
1564,HG02944,Africa
1565,HG02945,Africa
1566,HG02946,Africa
1567,HG02947,Africa
1568,HG02948,Africa
1569,HG02952,Africa
1570,HG02953,Africa
1571,HG02954,Africa
1572,HG02964,Africa
1573,HG02965,Africa
1574,HG02966,Africa
1575,HG02968,Africa
1576,HG02969,Africa
1577,HG02970,Africa
1578,HG02971,Africa
1579,HG02972,Africa
1580,HG02973,Africa
1581,HG02974,Africa
1582,HG02975,Africa
1583,HG02976,Africa
1584,HG02977,Africa
1585,HG02978,Africa
1586,HG02979,Africa
1587,HG02980,Africa
1588,HG02981,Africa
1589,HG02982,Africa
1590,HG02983,Africa
1591,HG02984,Africa
1592,HG03006,Asia
1593,HG03007,Asia
1594,HG03008,Asia
1595,HG03009,Asia
1596,HG03012,Asia
1597,HG03015,Asia
1598,HG03016,Asia
1599,HG03017,Asia
1600,HG03018,Asia
1601,HG03019,Asia
1602,HG03021,Asia
1603,HG03022,Asia
1604,HG03023,Asia
1605,HG03024,Africa
1606,HG03025,Africa
1607,HG03026,Africa
1608,HG03027,Africa
1609,HG03028,Africa
1610,HG03029,Africa
1611,HG03033,Africa
1612,HG03034,Africa
1613,HG03035,Africa
1614,HG03039,Africa
1615,HG03040,Africa
1616,HG03041,Africa
1617,HG03045,Africa
1618,HG03046,Africa
1619,HG03047,Africa
1620,HG03048,Africa
1621,HG03049,Africa
1622,HG03050,Africa
1623,HG03052,Africa
1624,HG03053,Africa
1625,HG03054,Africa
1626,HG03055,Africa
1627,HG03056,Africa
1628,HG03057,Africa
1629,HG03058,Africa
1630,HG03059,Africa
1631,HG03060,Africa
1632,HG03061,Africa
1633,HG03062,Africa
1634,HG03063,Africa
1635,HG03064,Africa
1636,HG03065,Africa
1637,HG03066,Africa
1638,HG03069,Africa
1639,HG03072,Africa
1640,HG03073,Africa
1641,HG03074,Africa
1642,HG03076,Africa
1643,HG03077,Africa
1644,HG03078,Africa
1645,HG03079,Africa
1646,HG03080,Africa
1647,HG03081,Africa
1648,HG03082,Africa
1649,HG03084,Africa
1650,HG03085,Africa
1651,HG03086,Africa
1652,HG03088,Africa
1653,HG03091,Africa
1654,HG03095,Africa
1655,HG03096,Africa
1656,HG03097,Africa
1657,HG03098,Africa
1658,HG03099,Africa
1659,HG03100,Africa
1660,HG03101,Africa
1661,HG03103,Africa
1662,HG03104,Africa
1663,HG03105,Africa
1664,HG03107,Africa
1665,HG03108,Africa
1666,HG03109,Africa
1667,HG03110,Africa
1668,HG03111,Africa
1669,HG03112,Africa
1670,HG03113,Africa
1671,HG03114,Africa
1672,HG03115,Africa
1673,HG03116,Africa
1674,HG03117,Africa
1675,HG03118,Africa
1676,HG03119,Africa
1677,HG03120,Africa
1678,HG03121,Africa
1679,HG03122,Africa
1680,HG03123,Africa
1681,HG03124,Africa
1682,HG03125,Africa
1683,HG03126,Africa
1684,HG03127,Africa
1685,HG03128,Africa
1686,HG03129,Africa
1687,HG03130,Africa
1688,HG03131,Africa
1689,HG03132,Africa
1690,HG03133,Africa
1691,HG03134,Africa
1692,HG03135,Africa
1693,HG03136,Africa
1694,HG03137,Africa
1695,HG03139,Africa
1696,HG03140,Africa
1697,HG03157,Africa
1698,HG03158,Africa
1699,HG03159,Africa
1700,HG03160,Africa
1701,HG03161,Africa
1702,HG03162,Africa
1703,HG03163,Africa
1704,HG03164,Africa
1705,HG03166,Africa
1706,HG03167,Africa
1707,HG03168,Africa
1708,HG03169,Africa
1709,HG03170,Africa
1710,HG03171,Africa
1711,HG03172,Africa
1712,HG03173,Africa
1713,HG03175,Africa
1714,HG03176,Africa
1715,HG03189,Africa
1716,HG03190,Africa
1717,HG03191,Africa
1718,HG03193,Africa
1719,HG03194,Africa
1720,HG03195,Africa
1721,HG03196,Africa
1722,HG03197,Africa
1723,HG03198,Africa
1724,HG03199,Africa
1725,HG03200,Africa
1726,HG03202,Africa
1727,HG03203,Africa
1728,HG03209,Africa
1729,HG03212,Africa
1730,HG03224,Africa
1731,HG03225,Africa
1732,HG03228,Asia
1733,HG03229,Asia
1734,HG03230,Asia
1735,HG03234,Asia
1736,HG03235,Asia
1737,HG03236,Asia
1738,HG03237,Asia
1739,HG03238,Asia
1740,HG03239,Asia
1741,HG03240,Africa
1742,HG03241,Africa
1743,HG03242,Africa
1744,HG03246,Africa
1745,HG03247,Africa
1746,HG03248,Africa
1747,HG03249,Africa
1748,HG03250,Africa
1749,HG03251,Africa
1750,HG03258,Africa
1751,HG03259,Africa
1752,HG03260,Africa
1753,HG03265,Africa
1754,HG03266,Africa
1755,HG03267,Africa
1756,HG03268,Africa
1757,HG03269,Africa
1758,HG03270,Africa
1759,HG03271,Africa
1760,HG03272,Africa
1761,HG03279,Africa
1762,HG03280,Africa
1763,HG03291,Africa
1764,HG03293,Africa
1765,HG03294,Africa
1766,HG03295,Africa
1767,HG03296,Africa
1768,HG03297,Africa
1769,HG03298,Africa
1770,HG03299,Africa
1771,HG03300,Africa
1772,HG03301,Africa
1773,HG03302,Africa
1774,HG03303,Africa
1775,HG03304,Africa
1776,HG03305,Africa
1777,HG03306,Africa
1778,HG03307,Africa
1779,HG03308,Africa
1780,HG03309,Africa
1781,HG03310,Africa
1782,HG03311,Africa
1783,HG03312,Africa
1784,HG03313,Africa
1785,HG03314,Africa
1786,HG03339,Africa
1787,HG03341,Africa
1788,HG03342,Africa
1789,HG03343,Africa
1790,HG03344,Africa
1791,HG03350,Africa
1792,HG03351,Africa
1793,HG03352,Africa
1794,HG03354,Africa
1795,HG03361,Africa
1796,HG03362,Africa
1797,HG03363,Africa
1798,HG03365,Africa
1799,HG03366,Africa
1800,HG03367,Africa
1801,HG03368,Africa
1802,HG03369,Africa
1803,HG03370,Africa
1804,HG03371,Africa
1805,HG03372,Africa
1806,HG03373,Africa
1807,HG03374,Africa
1808,HG03376,Africa
1809,HG03378,Africa
1810,HG03380,Africa
1811,HG03381,Africa
1812,HG03382,Africa
1813,HG03383,Africa
1814,HG03384,Africa
1815,HG03385,Africa
1816,HG03388,Africa
1817,HG03390,Africa
1818,HG03391,Africa
1819,HG03393,Africa
1820,HG03394,Africa
1821,HG03397,Africa
1822,HG03398,Africa
1823,HG03399,Africa
1824,HG03401,Africa
1825,HG03402,Africa
1826,HG03408,Africa
1827,HG03410,Africa
1828,HG03411,Africa
1829,HG03419,Africa
1830,HG03428,Africa
1831,HG03431,Africa
1832,HG03432,Africa
1833,HG03433,Africa
1834,HG03436,Africa
1835,HG03437,Africa
1836,HG03438,Africa
1837,HG03439,Africa
1838,HG03442,Africa
1839,HG03445,Africa
1840,HG03446,Africa
1841,HG03449,Africa
1842,HG03450,Africa
1843,HG03451,Africa
1844,HG03452,Africa
1845,HG03453,Africa
1846,HG03454,Africa
1847,HG03455,Africa
1848,HG03456,Africa
1849,HG03457,Africa
1850,HG03458,Africa
1851,HG03459,Africa
1852,HG03460,Africa
1853,HG03461,Africa
1854,HG03462,Africa
1855,HG03464,Africa
1856,HG03465,Africa
1857,HG03466,Africa
1858,HG03468,Africa
1859,HG03469,Africa
1860,HG03470,Africa
1861,HG03471,Africa
1862,HG03472,Africa
1863,HG03473,Africa
1864,HG03474,Africa
1865,HG03476,Africa
1866,HG03477,Africa
1867,HG03478,Africa
1868,HG03479,Africa
1869,HG03480,Africa
1870,HG03484,Africa
1871,HG03485,Africa
1872,HG03486,Africa
1873,HG03487,Asia
1874,HG03488,Asia
1875,HG03489,Asia
1876,HG03490,Asia
1877,HG03491,Asia
1878,HG03492,Asia
1879,HG03493,Africa
1880,HG03499,Africa
1881,HG03508,Africa
1882,HG03510,Africa
1883,HG03511,Africa
1884,HG03513,Africa
1885,HG03514,Africa
1886,HG03515,Africa
1887,HG03516,Africa
1888,HG03517,Africa
1889,HG03518,Africa
1890,HG03519,Africa
1891,HG03520,Africa
1892,HG03521,Africa
1893,HG03522,Africa
1894,HG03538,Africa
1895,HG03539,Africa
1896,HG03540,Africa
1897,HG03547,Africa
1898,HG03548,Africa
1899,HG03549,Africa
1900,HG03556,Africa
1901,HG03557,Africa
1902,HG03558,Africa
1903,HG03559,Africa
1904,HG03563,Africa
1905,HG03564,Africa
1906,HG03565,Africa
1907,HG03566,Africa
1908,HG03567,Africa
1909,HG03569,Africa
1910,HG03571,Africa
1911,HG03572,Africa
1912,HG03574,Africa
1913,HG03575,Africa
1914,HG03576,Africa
1915,HG03577,Africa
1916,HG03578,Africa
1917,HG03579,Africa
1918,HG03582,Africa
1919,HG03583,Africa
1920,HG03584,Africa
1921,HG03585,Asia
1922,HG03587,Asia
1923,HG03589,Asia
1924,HG03590,Asia
1925,HG03593,Asia
1926,HG03594,Asia
1927,HG03595,Asia
1928,HG03596,Asia
1929,HG03598,Asia
1930,HG03599,Asia
1931,HG03600,Asia
1932,HG03602,Asia
1933,HG03603,Asia
1934,HG03604,Asia
1935,HG03605,Asia
1936,HG03606,Asia
1937,HG03607,Asia
1938,HG03611,Asia
1939,HG03615,Asia
1940,HG03616,Asia
1941,HG03617,Asia
1942,HG03618,Asia
1943,HG03619,Asia
1944,HG03620,Asia
1945,HG03621,Asia
1946,HG03624,Asia
1947,HG03625,Asia
1948,HG03626,Asia
1949,HG03629,Asia
1950,HG03631,Asia
1951,HG03633,Asia
1952,HG03634,Asia
1953,HG03635,Asia
1954,HG03636,Asia
1955,HG03638,Asia
1956,HG03639,Asia
1957,HG03640,Asia
1958,HG03641,Asia
1959,HG03642,Europe
1960,HG03643,Europe
1961,HG03644,Europe
1962,HG03645,Europe
1963,HG03646,Europe
1964,HG03649,Asia
1965,HG03650,Asia
1966,HG03651,Asia
1967,HG03652,Asia
1968,HG03653,Asia
1969,HG03654,Asia
1970,HG03656,Asia
1971,HG03657,Asia
1972,HG03660,Asia
1973,HG03663,Asia
1974,HG03667,Asia
1975,HG03668,Asia
1976,HG03669,Asia
1977,HG03672,Europe
1978,HG03673,Europe
1979,HG03679,Europe
1980,HG03680,Europe
1981,HG03681,Europe
1982,HG03682,Europe
1983,HG03683,Europe
1984,HG03684,Europe
1985,HG03685,Europe
1986,HG03686,Europe
1987,HG03687,Europe
1988,HG03688,Europe
1989,HG03689,Europe
1990,HG03690,Europe
1991,HG03691,Europe
1992,HG03692,Europe
1993,HG03693,Europe
1994,HG03694,Europe
1995,HG03695,Europe
1996,HG03696,Europe
1997,HG03697,Europe
1998,HG03698,Europe
1999,HG03699,Asia
2000,HG03700,Asia
2001,HG03701,Asia
2002,HG03702,Asia
2003,HG03703,Asia
2004,HG03704,Asia
2005,HG03705,Asia
2006,HG03706,Asia
2007,HG03707,Asia
2008,HG03708,Asia
2009,HG03709,Asia
2010,HG03710,Asia
2011,HG03711,Europe
2012,HG03713,Europe
2013,HG03714,Europe
2014,HG03715,Europe
2015,HG03716,Europe
2016,HG03717,Europe
2017,HG03718,Europe
2018,HG03719,Europe
2019,HG03720,Europe
2020,HG03721,Europe
2021,HG03722,Europe
2022,HG03723,Europe
2023,HG03725,Europe
2024,HG03727,Europe
2025,HG03729,Europe
2026,HG03730,Europe
2027,HG03731,Europe
2028,HG03732,Europe
2029,HG03733,Europe
2030,HG03736,Europe
2031,HG03738,Europe
2032,HG03740,Europe
2033,HG03741,Europe
2034,HG03742,Europe
2035,HG03743,Europe
2036,HG03744,Europe
2037,HG03745,Europe
2038,HG03746,Europe
2039,HG03750,Europe
2040,HG03752,Europe
2041,HG03753,Europe
2042,HG03754,Europe
2043,HG03755,Europe
2044,HG03756,Europe
2045,HG03757,Europe
2046,HG03760,Europe
2047,HG03761,Asia
2048,HG03762,Asia
2049,HG03763,Asia
2050,HG03765,Asia
2051,HG03766,Asia
2052,HG03767,Asia
2053,HG03769,Asia
2054,HG03770,Europe
2055,HG03771,Europe
2056,HG03772,Europe
2057,HG03773,Europe
2058,HG03774,Europe
2059,HG03775,Europe
2060,HG03777,Europe
2061,HG03778,Europe
2062,HG03779,Europe
2063,HG03780,Europe
2064,HG03781,Europe
2065,HG03782,Europe
2066,HG03783,Europe
2067,HG03784,Europe
2068,HG03785,Europe
2069,HG03786,Europe
2070,HG03787,Europe
2071,HG03788,Europe
2072,HG03789,Europe
2073,HG03790,Europe
2074,HG03792,Europe
2075,HG03793,Asia
2076,HG03794,Asia
2077,HG03795,Asia
2078,HG03796,Asia
2079,HG03797,Asia
2080,HG03798,Asia
2081,HG03799,Asia
2082,HG03800,Asia
2083,HG03801,Asia
2084,HG03802,Asia
2085,HG03803,Asia
2086,HG03804,Asia
2087,HG03805,Asia
2088,HG03806,Asia
2089,HG03807,Asia
2090,HG03808,Asia
2091,HG03809,Asia
2092,HG03811,Asia
2093,HG03812,Asia
2094,HG03813,Asia
2095,HG03814,Asia
2096,HG03815,Asia
2097,HG03816,Asia
2098,HG03817,Asia
2099,HG03821,Asia
2100,HG03822,Asia
2101,HG03823,Asia
2102,HG03824,Asia
2103,HG03825,Asia
2104,HG03826,Asia
2105,HG03829,Asia
2106,HG03830,Asia
2107,HG03831,Asia
2108,HG03832,Asia
2109,HG03833,Asia
2110,HG03834,Asia
2111,HG03835,Europe
2112,HG03836,Europe
2113,HG03837,Europe
2114,HG03838,Europe
2115,HG03840,Europe
2116,HG03842,Europe
2117,HG03844,Europe
2118,HG03845,Europe
2119,HG03846,Europe
2120,HG03847,Europe
2121,HG03848,Europe
2122,HG03849,Europe
2123,HG03850,Europe
2124,HG03851,Europe
2125,HG03854,Europe
2126,HG03856,Europe
2127,HG03857,Europe
2128,HG03858,Europe
2129,HG03861,Europe
2130,HG03862,Europe
2131,HG03863,Europe
2132,HG03864,Europe
2133,HG03866,Europe
2134,HG03867,Europe
2135,HG03868,Europe
2136,HG03869,Europe
2137,HG03870,Europe
2138,HG03871,Europe
2139,HG03872,Europe
2140,HG03873,Europe
2141,HG03874,Europe
2142,HG03875,Europe
2143,HG03876,Europe
2144,HG03879,Europe
2145,HG03882,Europe
2146,HG03884,Europe
2147,HG03885,Europe
2148,HG03886,Europe
2149,HG03887,Europe
2150,HG03888,Europe
2151,HG03890,Europe
2152,HG03894,Europe
2153,HG03895,Europe
2154,HG03896,Europe
2155,HG03897,Europe
2156,HG03898,Europe
2157,HG03899,Europe
2158,HG03900,Europe
2159,HG03901,Asia
2160,HG03902,Asia
2161,HG03903,Asia
2162,HG03904,Asia
2163,HG03905,Asia
2164,HG03906,Asia
2165,HG03907,Asia
2166,HG03908,Asia
2167,HG03909,Asia
2168,HG03910,Asia
2169,HG03911,Asia
2170,HG03913,Asia
2171,HG03914,Asia
2172,HG03915,Asia
2173,HG03916,Asia
2174,HG03917,Asia
2175,HG03919,Asia
2176,HG03920,Asia
2177,HG03922,Asia
2178,HG03924,Asia
2179,HG03925,Asia
2180,HG03926,Asia
2181,HG03927,Asia
2182,HG03928,Asia
2183,HG03929,Asia
2184,HG03930,Asia
2185,HG03931,Asia
2186,HG03934,Asia
2187,HG03937,Asia
2188,HG03939,Asia
2189,HG03940,Asia
2190,HG03941,Asia
2191,HG03942,Asia
2192,HG03943,Europe
2193,HG03944,Europe
2194,HG03945,Europe
2195,HG03947,Europe
2196,HG03948,Europe
2197,HG03949,Europe
2198,HG03950,Europe
2199,HG03951,Europe
2200,HG03953,Europe
2201,HG03955,Europe
2202,HG03960,Europe
2203,HG03963,Europe
2204,HG03965,Europe
2205,HG03967,Europe
2206,HG03968,Europe
2207,HG03969,Europe
2208,HG03971,Europe
2209,HG03972,Europe
2210,HG03973,Europe
2211,HG03974,Europe
2212,HG03976,Europe
2213,HG03977,Europe
2214,HG03978,Europe
2215,HG03982,Europe
2216,HG03985,Europe
2217,HG03986,Europe
2218,HG03988,Europe
2219,HG03989,Europe
2220,HG03990,Europe
2221,HG03991,Europe
2222,HG03992,Europe
2223,HG03995,Europe
2224,HG03998,Europe
2225,HG03999,Europe
2226,HG04001,Europe
2227,HG04002,Europe
2228,HG04003,Europe
